HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.sent_id,Input.relation,Input.term1,Input.b1,Input.e1,Input.term2,Input.b2,Input.e2,Input.sentence,Input.baseline,Input.confidence,Input.sen_len,Answer.Q1,Answer.Q1text,Answer.Q2a,Answer.Q2b,Answer.b1val,Answer.b2val,Answer.e1val,Answer.e2val,Answer.factor1,Answer.factor2,Approve,Reject
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,374TNBHA8C7XZUK10VFB2OHA1XJQYI,A14WWG6NKBDWGP,Approved,Fri Nov 24 23:24:42 PST 2017,Fri Nov 24 23:24:58 PST 2017,Fri Dec 01 23:24:58 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,16,100% (714/714),100% (57/57),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,none,none,{},one name,21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3KKG4CDWKJAB9OPVUMGI04NEWV694I,A3BL2ZEODD79AZ,Approved,Fri Nov 24 16:12:42 PST 2017,Fri Nov 24 16:13:15 PST 2017,Fri Dec 01 16:13:15 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,33,100% (315/315),100% (195/195),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,org:subsidiaries,org:subsidiaries,{},{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,32SVAV9L3GL4WBGWMEPZMU6SODJA34,A18G2CLYSTENK,Approved,Fri Nov 24 12:46:09 PST 2017,Fri Nov 24 12:46:32 PST 2017,Fri Dec 01 12:46:32 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,23,100% (652/652),100% (246/246),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:employee_or_member_of,per:employee_or_member_of,member of PHYLLIS SCHLAFLY 's EAGLE FORUM,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,36NEMU28XGP2PAR9T1Q60ICPGMAMWC,A31XNLA9REVGXL,Approved,Fri Nov 24 03:28:57 PST 2017,Fri Nov 24 03:31:04 PST 2017,Fri Dec 01 03:31:04 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,127,100% (597/597),100% (65/65),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:employee_or_member_of,per:employee_or_member_of,{},{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3S4AW7T80CU6AQQ4JJJ85DE9WPGL4K,A3UV55HC87DO9C,Approved,Fri Nov 24 13:31:30 PST 2017,Fri Nov 24 13:31:59 PST 2017,Fri Dec 01 13:31:59 PST 2017,Sun Nov 26 07:38:44 PST 2017,,,29,100% (515/515),100% (173/173),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:employee_or_member_of,per:employee_or_member_of,by a member of,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,31JLPPHS2V6TYFAXWXUHNPQXDT33OA,A2EEL9YYUHL5SK,Approved,Fri Nov 24 06:46:36 PST 2017,Fri Nov 24 06:50:20 PST 2017,Fri Dec 01 06:50:20 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,224,100% (1316/1317),100% (121/121),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:employee_or_member_of|per:founded_org|per:top_member_employee_of_org,per:founded_org per:employee_or_member_of per:top_member_employee_of_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3JV9LGBJWUQUSRMLRC116JF6HYAOG5,A610SH5RY1NG1,Approved,Fri Nov 24 07:23:48 PST 2017,Fri Nov 24 07:24:10 PST 2017,Fri Dec 01 07:24:10 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,22,100% (817/817),100% (200/200),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:employee_or_member_of|per:founded_org|per:top_member_employee_of_org,per:founded_org per:top_member_employee_of_org per:employee_or_member_of,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,38SKSKU7R290IXPJ48LCZEOS171ILG,A3KN0O7VP8YSZY,Approved,Fri Nov 24 08:49:59 PST 2017,Fri Nov 24 08:50:13 PST 2017,Fri Dec 01 08:50:13 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,14,100% (789/789),100% (228/228),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3E47SOBEYR87FTVDRVSDWVY57YRIC4,A03922113RU44GENR8ATX,Approved,Fri Nov 24 09:31:16 PST 2017,Fri Nov 24 09:31:54 PST 2017,Fri Dec 01 09:31:54 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,38,100% (773/773),100% (218/218),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3GU1KF0O4JDGMAQBQQM2U8TZBRBPB5,A34QZDSTKZ3JO9,Approved,Fri Nov 24 19:35:09 PST 2017,Fri Nov 24 19:35:19 PST 2017,Fri Dec 01 19:35:19 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,10,100% (1326/1326),100% (295/295),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
